Request Name,Request Type,Num Requests,Num Failures,Median Response Time (ms),Average Response Time (ms),Min Response Time (ms),Max Response Time (ms),Total Bytes,Avg Bytes/Request,Custom Doc Count,Avg Docs/Request
[forest1] arbres_par_plot_sousplot,MONGO,2,0,201.54404640197754,204.6816349029541,201.54404640197754,207.81922340393066,1497292,748646.0,758,379.0
[forest1] especes_par_plot_sousplot,MONGO,2,0,208.40787887573242,208.21607112884521,208.024263381958,208.40787887573242,762598,381299.0,758,379.0
[forest1] especes_par_plot,MONGO,2,0,62.31951713562012,63.60042095184326,62.31951713562012,64.8813247680664,109054,54527.0,46,23.0
[forest1] nb_especes_par_plot_sousplot,MONGO,2,0,80.0776481628418,80.60383796691895,80.0776481628418,81.1300277709961,69530,34765.0,758,379.0
[forest1] nb_especes_par_plot,MONGO,2,0,63,66.72680377960205,62.67571449279785,70.77789306640625,3100,1550.0,46,23.0
[forest1] plots_sousplots_location,MONGO,2,0,180.71985244750977,185.97650527954102,180.71985244750977,191.23315811157227,409106,204553.0,46,23.0
[forest2] arbres_par_plot_sousplot,MONGO,2,0,69,72.03924655914307,68.90583038330078,75.17266273498535,1131504,565752.0,758,379.0
[forest2] especes_par_plot_sousplot,MONGO,2,0,80,81.74026012420654,79.8184871673584,83.66203308105469,396810,198405.0,758,379.0
[forest2] especes_par_plot,MONGO,2,0,66.34044647216797,69.1993236541748,66.34044647216797,72.05820083618164,108548,54274.0,46,23.0
[forest2] nb_especes_par_plot_sousplot,MONGO,2,0,77.28433609008789,80.34312725067139,77.28433609008789,83.40191841125488,69530,34765.0,758,379.0
[forest2] nb_especes_par_plot,MONGO,2,0,67,68.6652660369873,66.50328636169434,70.82724571228027,3100,1550.0,46,23.0
[forest2] plots_sousplots_location,MONGO,2,0,3,3.031611442565918,2.76947021484375,3.293752670288086,396126,198063.0,46,23.0
[forest3] arbres_par_plot_sousplot,MONGO,1,0,213.45877647399902,213.45877647399902,213.45877647399902,213.45877647399902,2239029,2239029.0,379,379.0
[forest3] especes_par_plot_sousplot,MONGO,1,0,217.57078170776367,217.57078170776367,217.57078170776367,217.57078170776367,201800,201800.0,379,379.0
[forest3] especes_par_plot,MONGO,1,0,175.40979385375977,175.40979385375977,175.40979385375977,175.40979385375977,54498,54498.0,23,23.0
[forest3] nb_especes_par_plot_sousplot,MONGO,1,0,205.34110069274902,205.34110069274902,205.34110069274902,205.34110069274902,34765,34765.0,379,379.0
[forest3] nb_especes_par_plot,MONGO,1,0,171.8423366546631,171.8423366546631,171.8423366546631,171.8423366546631,1550,1550.0,23,23.0
[forest3] plots_sousplots_location,MONGO,1,0,2.8641223907470703,2.8641223907470703,2.8641223907470703,2.8641223907470703,198063,198063.0,23,23.0
